Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
4/12/2015,"Iran, Hormozgan",4.8,10,,--,--,2 - 3,,0,--
4/13/2015,"China, Yunnan",4.8,6,,--,1,2,,0,--
4/14/2015,China. Guizhou,2.4,,,--,--,1 - 2,,0,--
4/15/2015,"China, Gansu",4.5,9,,1,15,4 - 5,21951,182,--
4/15/2015,"China, Nei Mongol",5.8,10,VII,--,--,3,494,1,--
4/15/2015,"Cyprus, Paphos",5.5,30,VI ,--,--,1 - 2,10,0,--
4/15/2015,"Brazil, Ceara",2.5,,,--,--,1,5,0,--
4/16/2015,"Germany, Saxonia-Anhalt",3.3,21,,--,--,1,2,0,--
4/17/2015,"Poland, Silesia","[4,2]",1,,2,--,1,1,0,--
4/20/2015,"OS Taiwan, Yilan",6.3,,4,1,1,1 - 2,1,1,--
4/21/2015,"Iran, Kohgiluyeh va Boyer Ahmad",3.7,10,,--,--,1 - 2,10,0,--
4/25/2015,"Nepal, Western",7.8,20,IX,9124,23790,5 +,300000,800000,--
4/25/2015,"China, Xizang (aftershock Nepal)",5.9,20,,--,--,2,50,0,--
4/26/2015,"Nepal, Central (aftershock)",6.7,,VII,8,83,4,,,--
4/27/2015,"Nepal, Eastern",5.1,10,,1,,2 - 3,,0,--
4/28/2015,"Ecuador, Guayas (Guayaquil area)",5.8,71,V,--,2,2,,0,--
4/28/2015,"Mexico, Oaxaca",5.5,113,,--,--,1,2,0,--
4/28/2015,"Germany, Northrhine Westphalia","[2,7]",1,,--,--,1,10,0,--
4/29/2015,"Iran, Fars",4.9,10,,--,14,2 - 3,,0,--
4/29/2015,"Poland, Silesia","[3,5]",1,,--,--,1,,0,--
4/30/2015,"Papua New Guinea, New Britain",6.7,48,VII,--,--,1 - 2,,0,--
5/1/2015,"Papua New Guinea, New Britain",6.8,57,VII,--,--,3,,,cm
5/2/2015,"Nepal, Western (aftershock)",5.1,,,4,1,3,,,--
5/2/2015,"USA, Michigan",4.2,6,,--,--,2,,0,--
5/2/2015,"OS Japan, Tokyo",5.9,2,not felt,--,--,--,0,0,50 cm
5/4/2015,"New Zealand, Otago",5.8,,,--,--,1,0,0,--
5/5/2015,"Papua New Guinea, New Britain",7.5,42,VIII,--,--,2 - 3,,0,cm
5/5/2015,"Iran, Razavi-Chorasan",5.2,10,,--,64,2 - 3,,0,--
5/5/2015,"OS Thailand, Phuket",4.6,10,,--,--,1,1,0,--
5/5/2015,"Nepal, Central (aftershock)",4.0,,,1,--,1,,0,--
5/7/2015,"USA, Texas  ","[4,0]",3,V,--,--,1,,0,--
5/8/2015,"OS Indonesia, Sumatra Utara",5.8,,,--,--,1,1,0,--
5/8/2015,"Iran, Bushehr",4.5,12,,--,--,1 - 2,,0,--
5/9/2015,"Colombia, La Guajira",4.7,,,--,--,1 - 2,10,0,--
5/10/2015,"Nepal, Central (aftershock)",4.2,,,1,--,--,,,--
5/12/2015,"Nepal, Central (aftershock)",7.3,15,VIII,228,3680,5,,,--
5/12/2015,"OS Japan, Iwate",6.6,50,JMA 5+,--,--,1,,0,--
5/12/2015,"Nepal, Central (aftershock)",5.9,,,1,--,,,,--
5/13/2015,"Brazil, Ceara",3.0,,,--,--,1,10,0,--
5/14/2015,"Peru, Ica",5.2,45,IV,--,2,--,0,0,--
5/15/2015,"Nepal, Central (aftershock)",5.5,,,1,,,,,--
5/15/2015,"Italy, Venice",3.5,11,,--,--,1,5,0,--
5/15/2015,"Indonesia, Bengkulu",6.1,165,,--,--,2,200,0,--
5/16/2015,"Nepal, Central (aftershock)",5.5,,,4,--,3,,1,--
May 2015,"Fiji, Eastern Division",,,,--,--,2,,0,--
5/20/2015,"Tajikistan, Nohijahoi tobei dschumhurij",5.5,,VI,--,--,2 - 3,22,0,--
5/21/2015,"OS China, Shandong",4.6,10,,--,--,3,,3,--
5/21/2015,"Iran, Lorestan",4.3,4,,--,--,2 - 3,50,0,--
5/22/2015,"USA, California",4.1,13,V,--,--,1,0,0,--
5/22/2015,"England, Kent",4.2,13,V,--,--,1,1,0,--
5/25/2015,"Japan, Saitama",5.5,56,JMA 5 -,--,2,--,0,0,--
5/27/2015,"Netherlands, Groningen","[2,0]",3,,--,--,1,9,0,--
5/27/2015,"Czech Republic, Moravian-Silesian Region","[3,1]",,,--,--,1,1,0,--
5/30/3015,"OS Japan, Kanagawa",8.1,672,JMA 5+,--,13,1,,0,--
6/1/2015,"Iran, Bushehr",4.4,10,,--,--,1 - 2,,0,--
6/1/2015,"New Zealand, Otago",4.7,7,,--,--,1,25,0,--
6/2/2015,"Greece, Kefalonia",4.3,,,--,2,--,0,0,--
6/4/2015,"Malaysia, Sabah",5.9,10,VI,18,130,2 - 3,488,0,--
6/7/2015,"Argentina, La Rioja",5.1,,,--,--,1 - 2,,0,--
6/20/2015,"OS Chile, Bio-Bio",6.0,23,V,--,--,1,2,0,--
6/21/2015,"Poland, Silesia","[3,0]",1,,--,--,1,,0,--
6/22/2015,"Malaysia, Sabah (aftershock)",3.5,,,--,--,1 - 2,1,0,--
6/24/2015,"China, Xinjiang",5.4,8,,--,--,2 - 3,700,0,--
6/25/2015,"Indonesia, Java Timur",4.2,,,--,--,2,58,0,--
6/27/2015,"Egypt, South Sinai",5.2,,,--,--,1 - 2,,0,--
6/28/2015,"India, Assam",5.6,,,--,4,2,,0,--
6/28/2015,"Mexico, Oaxaca",5.6,84,,--,--,2,7,0,--
6/29/2015,"OS Peru, Arequipa",5.8,48,,--,--,2,,3,--
7/1/2015,"Peru, Huancavelica",4.0,4,V,--,--,3,13,2,--
7/2/2015,"OS Solomon Islands, Makira",5.8,,,--,--,1,,0,--
7/3/2015,"China, Xinjiang",6.5,10,VIII,3,214,5,69029,7586,--
7/3/2015,"OS Philippines, Caraga",6.1,30,V,--,--,1 - 2,5,0,--
7/6/2015,"Peru, Cuzco",4.7,9,,--,--,2 - 3,,0,--
7/9/2015,"Japan, Iwate",5.7,88,JMA 5-,--,2,--,0,0,--
7/10/2015,"OS Solomon Islands, Western Province",6.7,12,,--,--,--,0,0,1 cm
7/11/2015,"India, Telangana",,,,--,--,1,,0,--
