Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
05.03.2019,USA,Tennessee,3.4,Earthquake,tectonic,17,,"36,296","-83,736",0,0,0,0.004,1,0,--
06.03.2019,Colombia,Magdalena,4.3,Earthquake,tectonic,4,,10.96,-74.75,0,0,0,0.038,10,0,--
07.03.2019,Argentina,Neuquen,4.8,Earthquake,induced,,,"-38,505","-68,908",0,0,0,0.073,20,0,--
07.03.2019,Hungary,Somogy,4.0,Earthquake,tectonic,12,,46.29,17.31,0,0,0,0.008,2,0,--
07.03.2019,China,Yunnan,4.4,Earthquake,tectonic,11,,23.98,99.39,0,0,0,0.038,10,0,--
12.03.2019,USA,Puerto Rico,4.6,Earthquake,tectonic,13,,17.93,-66.18,0,0,0,0.016,4,,--
13.03.2019,Thailand,Lampang,4.1,aftershock,tectonic,,,19.24,99.63,0,0,0,0.145,43,0,--
14.03.2019,Thailand,Lampang,4.0,aftershock,tectonic,,,19.24,99.63,0,0,1,0.224,68,1,--
14.03.2019,Peru,Huancavelica,4.0,earthquake,tectonic,,,-12.52,-74.96,0,0,4,0.099,13,2,--
16.03.2019,India,Rajasthan,4.0,earthquake,tectonic,,,27.49,76.87,0,0,0,0.020,5,0,--
16.03.2019,Pakistan,Balochistan,5.0,earthquake,tectonic,,,29.70,67.53,0,0,0,0.038,10,,--
17.03.2019,Indonesia,Nusa Tenggara Barat,5.5,earthquake,tectonic,,VII,-8.30,116.60,9,156,2108,2.176,3766,876,--
19.03.2019,Indonesia,Sumatera Selatan,4.4,earthquake,tectonic,,,-0.33,100.36,0,0,0,0.060,16,0,--
20.03.2019,Turkey,Denizli,5.7,earthquake,tectonic,7,,37.43,29.44,0,22,600,1.423,500,139,--
20.03.2019,France,Poitou-Charentes,4.9,earthquake,tectonic,,,45.35,-0.35,0,0,0,0.012,3,0,--
21.03.2019,Turkey,Malatya,4.1,earthquake,tectonic,,,38.79,38.15,0,0,0,0.031,8,0,--
