Date (UTC),Region / Epicenter,Magnitude,Depth (km),Intensity (MMI),Fatalities,injuries,Damage level,Tsunami height
6/20/2013,"China, Nei Mongol",5.0,6,,--,--,3,--
6/21/2013,"Iran, Tehran",3.9,8,,--,--,2,--
6/21/2013,"Italy, Tuscany",5.3,4,VI,--,7,3,--
6/22/2013,"OS Indonesia, West Nusa Tenggara",5.4,10,VI,--,49,4,--
6/23/2013,"Italy, Tuscany (aftershock)",4.4,9,V ,--,5,3,--
6/23/2013,Costa Rica,5.8,14,VI,--,--,1,--
6/25/2013,"Iran, West Azerbaijan",4.3,12,,--,--,2 - 3,--
6/28/2013,Nepal,5.0,,,--,20,3,--
6/28/2013,"Iran, West Azerbaijan",4.1,4,,--,--,2,--
6/30/2013,"Italy, Tuscany (aftershock)",4.4,10,V,--,--,2 - 3,--
7/2/2013,"Iran, Kerman",4.2,,,--,--,2,--
7/2/2013,"Indonesia, Sumatra",6.1,10,VIII,48,2637,4 - 5,--
7/2/2013,Greece,4.7,7,,--,--,2,--
7/2/2013,Uganda,5.2,,,--,--,3,--
7/2/2013,"Indonesia, Sumatra (Aftershock)",5.5,18,VI ,--,--,2,--
7/2/2013,Hungary,3.6,4,,--,--,1 - 2,--
7/2/2013,Netherlands,[3],3,,--,--,2,--
7/3/2013,Greece,4.7,4,,--,--,2,--
7/3/2013,Uganda,5.7,,VI,--,--,3,--
7/8/2013," OS Indonesia, Java",5.8,77,V ,--,1,2 - 3,--
7/13/2013,"Indonesia, Java",4.7,,V,--,1,2,--
7/13/2013,Poland,[4],1,,--,--,2,--
7/13/2013,"India, Himachal Pradesh",4.5,,,..,..,2,--
7/15/2013,Dominican Republic,4.9,24,,--,4,2,--
7/16/2013,"Peru, Arequipa","< 4,3",,,--,--,1 - 2,--
7/17/2013,"Peru, Arequipa",6.0,6,VII,--,3,4,--
7/17/2013,"Algeria, Blida",5.1,,,--,24,3,--
7/18/2013,"China, Yunnan",4.0,9,,--,1,2,--
7/20/2013,Switzerland,"[3,6]",4,,--,--,1 - 2,--
7/21/2013,"OS Italy, Marche",5.0,5,,--,--,1 - 2,--
7/21/2013,"OS New Zealand, Wellington",6.6,14,VI,--,25,2,7 cm
7/21/2013,"China, Gansu",6.6,20,VIII,95,4319,5,--
7/22/2013,"China, Gansu (aftershock)",5.6,,,,,3,--
7/25/2013,"Peru, Arequipa",4.5,7,,--,--,2 - 3,--
