Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,Tsunami Height
5/30/2014,"China, Yunnan",6.1,12,VII,--,48,4 - 5,--
5/30/2014,"USA, Oklahoma","[3,2]",2,,--,--,1,--
5/31/2014,Czech Republic,4.5,7,,--,--,1 - 2,--
6/2/2014,"Russia, Chechnya",4.8,,,--,--,2,--
6/3/2014,"Iran, Kerman",4.9,14,,--,--,2,--
6/3/2014,"OS Peru, Lima",5.4,,,--,2,1 - 2,--
6/4/2014,Nigeria,,,,--,--,2,--
6/6/2014,"China, Xizang",4.4,8,,--,--,1 - 2,--
6/8/2014,"Argentina, La Rioja",4.9,12,,--,--,2,--
6/8/2014,"Germany, Hessen",3.2,3,V,--,--,1,--
6/9/2014,"China, Sichuan",4.8,15,,--,--,2,--
6/10/2014,"Iran, Tehran",3.6,12,,--,--,2,--
6/13/2014,"Peru, Piura",4.6,29,,--,--,1 - 2,--
6/13/2014,Pakistan,5.3,,,--,--,2,--
6/13/2014,"India, Kashmir",4.6,,,2,1,3,--
6/13/2014,"India, Gujarat",3.2,,,--,--,1,--
6/15/2014,"USA, Alaska",5.7,12,,--,--,2,--
6/16/2014,Guatemala,5.4,14,,--,--,3,--
6/17/2014,"India, Himachal Pradesh",4.1,,,--,--,1 - 2,--
6/18/2014,"USA, Oklahoma","[4,1]",3,V,--,--,1 - 2,--
6/20/2014,"Iran, Bushehr",5.1,11,,--,1,3,--
6/21/2014,Kazakhstan,4.8,,,--,--,1 - 2,--
6/22/2014,"OS Indonesia, Java",5.5,12,,--,--,2,--
6/22/2014,"Peru, Ica",5.5,86,,--,4,,--
6/23/2014,"Kermadec Islands, New Zealand",6.9,,,--,--,--,13 cm
6/23/2014,"OS USA, Alaska",7.9,107,VII,--,--,--,17 cm
6/28/2014,Bolivia,4.6,11,,--,--,2,--
6/28/2014,"Iran, Chorasan",4.5,10,,--,--,2 - 3,--
6/29/2014,"USA, Arizona",5.2,5,VI,--,--,1 - 2,--
6/29/2014,Azerbaijan,5.2,,,--,--,3,--
6/30/2014,"Iran, Chorasan",4.4,,,--,--,3,--
7/3/2014,"Turkey, Balikesir",4.5,7,,--,--,2,--
7/3/2014,"Pakistan, Kashmir",5,,,--,--,3,--
7/4/2014,"Japan, Honshu",5.8,,JMA 5-,--,1,--,--
7/5/2014,"Iran, Fars",4.9,19,,--,--,1 - 2,--
7/5/2014,Bosnia-Herzegowina,3.6,,V,--,--,1,--
7/5/2014,Poland,"[4,4]",,,--,3,1,--
7/5/2014,Lebanon,4,,,--,--,1 - 2,--
7/7/2014,"Mexico, Chiapas",6.9,60,VII,8,410,5,--
7/7/2014,Vietnam,"[3,6]",6,,--,--,1 - 2,--
7/8/2014,"Japan, Hokkaido",5.8,5,JMA 5-,--,3,--,--
7/8/2014,"China, Xinjiang",5.1,8,,--,1,3 - 4,--
7/9/2014,"Peru, Arequipa",5.3,45,,--,2,--,--
7/11/2014,"China, Guangdong",[4.2],12,,--,--,2,--
7/11/2014,"OS UK, Channel Islands",4.8,,V,--,--,1,--
7/11/2014,"China, Sichuan",3.6,21,,--,--,1,--
7/11/2014,"OS Japan, Honshu",6.8,,JMA 4,--,3,--,30 cm
7/13/2014,"Peru, Arequipa",3.9,14,,--,--,3,--
7/13/2014,"OS Chile, Tarapaca",5.6,,VII,--,--,1,--
7/14/2014,"OS Indonesia, Java",5.6,,IV,--,--,2,--
7/14/2014,Bolivia,< 3.8,,,--,--,1 - 2,--
7/15/2014,"USA, Oklahoma",[3.8],9,IV,--,--,1 - 2,--
7/15/2014,"Thailand, Chiang Rai (aftershock)",4.3,,,--,--,1 - 2,--
7/17/2014,"USA, Kansas",[3.6],5,IV,--,--,1,--
7/18/2014,Bolivia,4.5,,,--,--,2,--
7/19/2014,Vietnam,4.3,8,,--,--,1 - 2,--
7/20/2014,"China, Guizhou",2.4,,,--,--,2,--
7/22/2014,"Iran, Kerman",5,8,,--,--,2 - 3,--
7/24/2014,Costa Rica,4.6,6,VII,--,--,1 - 2,--
7/24/2014,Ghana (Accra Area),3.5,,,--,--,1,--
7/24/2014,"Philippines, Leyte",5.4,7,VI,--,--,2 - 3,--
7/25/2014,"OS USA, Alaska",5.9,10,VII,--,--,1,8 cm
7/29/2014,"China, Sichuan",4.9,15,,--,4,2 - 3,--
7/29/2014,"China, Sichuan (aftershock)",4.6,15,,--,--,1 - 2,--
7/29/2014,"Mexico, Veracruz",6.4,131,V,1,1,2 - 3,--
7/31/2014,"Philippines, Leyte (aftershock)",3.8,18,IV,--,--,2,--
8/1/2014,"OS Algeria, Algiers",5.6,6,VI,6,420,2 - 3,--
8/3/2014,"China, Yunnan",6.5,12,IX,729,3143,5+,--
8/3/2014,"Peru, Tumbes",5.8,30,V,--,--,1 - 2,--
8/3/2014,Czech Republic,3.5,9,V,--,--,1 - 2,--
8/3/2014,"OS Colombia, Cauca",5,,,--,1,3,--
8/5/2014,South Africa,5.5,8,VII ,1,38,3 - 4,--
8/7/2014,"USA, Hawaii",4.5,17,IV,--,--,1,--
8/9/2014,"Canada, Alberta",4.3,5,,--,--,1,--
8/12/2014,Ecuador (Quito Area),5.1,5,VI,3,8,2 - 3,--
8/13/2014,"Mexico, Oaxaca",5.4,,VI,--,--,2,--
8/14/2014,"Chile, Tarapaca",5.7,46,VI,1,--,1,--
8/16/2014,Ecuador (Quito Area),4.7,5,,--,13,2,--
8/16/2014,"China, Yunnan",5,7,,--,21,3,--
8/16/2014,"Thailand, Chiang Rai (aftershock)",4.1,9,,--,--,1 - 2,--
08/2014,"Iran, Ilam","5,6 - 6,1",10 - 12,VII,--,462,5,--
8/19/2014,"USA, Oklahoma",4.2,4,V,--,--,1 - 2,--
8/21/2014,"China, Yunnan",4.2,12,,--,--,2 - 3,--
8/21/2014,"India, Himachal Pradesh",5,,,--,--,2 - 3,--
8/21/2014,"OS Indonesia, Nusa Tenggara Barat",4.3,11,,--,--,1,--
8/21/2014,South Africa (Johannesburg Area),3.8,,,--,--,1 - 2,--
8/22/2014,"OS Greece, Chalkidiki",5,,,--,--,1,--
8/23/2014,"Chile, Valparaiso",6.4,40,VII,--,1,2,--
8/24/2014,"USA, California",6,11,IX,1,208,3,--
8/24/2014,Turkey,4.8,7,,--,27,2 - 3,--
8/24/2014,"Thailand, Chiang Rai (aftershock)",4.8,5,,--,--,2 - 3,--
8/24/2014,"Peru, Ayacucho",6.6,108,VI ,--,8,3,--
8/25/2014,"Peru, Arequipa",5.7,56,,--,--,1 - 2,--
8/26/2014,"USA, California (aftershock)",3.9,12,V ,--,--,1,--
8/28/2014,"Italy, Lombardy",4,3,,--,--,1,--
8/31/2014,Morocco,4.5,,,--,--,2,--
9/1/2014,Netherlands,"[2,6]",,,--,--,1 - 2,--
9/1/2014,"Indonesia, Sumatra",4.8,,,--,--,2,--
9/4/2014,Bosnia-Herzegowina (Zenica area),3.5,2,V,5,31,1,--
9/4/2014,OS Turkey (Alanya / Antalya area),5.2,24,,--,1,1 - 2,--
9/6/2014,Pakistan,4.5,,,--,12,2,--
9/6/2014,"China, Hebei",4.3,,,--,--,2,--
9/10/2014,"Indonesia, Sumatra",5,10,V,--,4,2 - 3,--
9/12/2014,Dominican Republic,4.7,106,,--,--,1,--
9/14/2014,"Spain, Andalusia",3.5,2,V,--,--,1,--
9/14/2014,"OS Indonesia, Nias",5.6,14,V,--,--,2,--
9/15/2014,Sweden,4.7,5,,--,--,1,--
9/16/2014,"Japan, Honshu (Greater Tokyo area)",5.6,50,JMA 5-,--,9,2,--
9/17/2014,OS Guam,6.7,134,VI,--,--,1,--
9/18/2014,"China, Guizhou","[2,7]",1,,--,--,3,--
9/18/2014,"Romania, Galati",1.8,5,,--,--,2,--
9/20/2014,"Philippines, Mindanao",5.2,3,,--,4,3 - 4,--
9/21/2014,"China, Zhejiang","[3,3]",,,--,--,1,--
9/22/2014,"OS Indonesia, Nusa Tenggara Barat",4.8,195,,--,--,1,--
9/23/2014,"China, Zhejiang",[4],5,,--,--,3,--
9/25/2014,"USA, Alaska",6.2,103,VI,--,--,1 - 2,--
9/28/2014,"Peru, Cuzco",5.1,8,VI,8,4,3 - 4,--
9/28/2014,"Afghanistan, Takhar",5.5,,,--,,1,--
9/29/2014,Azerbaijan,5.5,12,,--,--,2,--
9/30/2014,Netherlands,"[2,8]",3,,--,--,2,--
10/1/2014,"China, Sichuan",5,15,,--,1,3 - 4,--
10/1/2014,Bolivia,4.9,8,,--,--,3,--
10/2/2014,"China, Qinghai",5.1,16,,--,--,2,--
10/2/2014,"USA, Kansas","[4,3]",5,,--,--,1 - 2,--
10/3/2014,"Philippines, Panay",5.7,16,VI,--,1,2,--
10/6/2014,Bolivia,3.3,,,--,--,2 - 3,--
10/7/2014,"China, Yunnan",6.6,5,VIII,1,324,5,--
10/8/2014,Georgia,3.7,,,--,10,1,--
10/9/2014,"OS Chile, Easter Island",7.1,16,,--,--,--,47 cm
10/9/2014,"China, Guizhou",3.1,4,,--,--,1 - 2,--
10/9/2014,"Iran, North Chorasan",4.3,10,,--,--,2,--
10/10/2014,"USA, Oklahoma","[4,3]",4,V,--,--,1 - 2,--
10/11/2014,"China, Yunnan (aftershock)",4.7,8,,--,--,1,--
10/11/2014,"Mexico, Oaxaca",5.6,,,--,--,2,--
10/13/2014,"Peru, Ayacucho",5.6,108,,--,--,1 - 2,--
10/14/2014,OS El Salvador,7.3,24,VII,4,1,3,
10/15/2014,"Iran, Ilam",5.6,10,VII,--,19,3,--
10/20/2014,Turkey,3.7,,,--,--,1 - 2,--
10/20/2014,Ecuador,5.9,5,VII,--,--,3,--
10/21/2014,"Iran, Kerman",4.5,18,,--,--,2,--
10/22/2014,"India, Madhya Pradesh",2.8,5,,--,--,1,--
10/22/2014,"Philippines, Mindanao",4.8,6,V,--,--,2,--
10/22/2014,"China, Anhui",3.1,5,,--,--,1 - 2,--
10/23/2014,"Mexico, Baja California Sur",2.5,,,--,--,1,--
10/24/2014,Greece,5.2,16,,--,--,1 - 2,--
10/25/2014,"China, Zhejiang","[4,2]",7,,--,--,2,--
10/25/2014,"China, Gansu",4.5,15,,--,--,1 - 2,--
10/25/2014,"China, Anhui",3.4,18,,--,--,1,--
10/26/2014,Afghanistan (Kabul area),3.7,,,--,--,1,--
10/26/2014,"India, Goa",2,,,--,--,1 - 2,--
10/26/2014,"Peru, Pasco",6,131,IV,--,--,1,--
10/28/2014,"Indonesia, Sumatra",3,4,,--,--,1 - 2,--
10/28/2014,"Iran, Fars",4.9,7,,--,--,1 - 2,--
10/29/2014,"Germany, Hessen",3.5,4,,--,--,1,--
10/30/2014,"Peru, Arequipa",5.3,20,,--,--,1,--
10/31/2014,Uganda,4.7,,,,12,3,--
10/31/2014,Romania,4.8,4,,--,--,1,--
11/1/2014,Costa Rica (San Jose area),4.3,,V,--,--,1,--
11/5/2014,Netherlands,[2.9],,,--,--,1 - 2,--
11/6/2014,Iraq,3.6,10,,--,--,1 - 2,--
11/7/2014,Greece,4.8,9,,--,--,2 - 3,--
11/8/2014,OS Greece,5.1,11,,--,--,2,--
11/9/2014,"Peru, Amazon",4.9,16,,--,--,3,--
11/10/2014,"Iran, Hormozgan",5.4,12,,--,--,3 - 4,--
11/12/2014,"USA, Kansas",4.8,3,VI,--,--,2,--
11/14/2014,Kyrgyzstan,5.6,,VII,--,--,2 - 3,--
11/14/2014,Czech Republic,"[3,5]",1,,[3],[9],1,--
11/14/2014,"China, Gansu",4.7,10,,--,--,2 - 3,--
11/15/2014,"OS Peru, Lima",5.8,35,V,--,--,1,--
11/15/2014,"OS Indonesia, Sulawesi",7.3,48,V,--,9,2 - 3,9 cm
11/15/2014,"OS Indonesia, Sulawesi",6.3,59,V,--,--,3,--
11/15/2014,"Germany, North Rhine-Westphalia","[3,6]",1,V,--,--,1,--
11/16/2014,"Brazil, Ceará",4.2,,,--,--,2,--
11/17/2014,Myanmar,5.4,72,,1,--,1,--
11/17/2014,Greece,5.2,12,,--,--,2,--
11/21/2014,"OS Indonesia, Sulawesi",6.7,,V,--,--,1,--
11/22/2014,"China, Sichuan",6.3,18,VIII,5,80,4,--
11/22/2014,"Japan, Honshu",6.8,5,JMA 6-,--,46,3 - 4,--
11/22/2014,Romania,5.7,39,VI ,--,14,2 - 3,--
11/23/2014,"USA, Texas (Dallas Area)",3.3,2,V,--,--,1,--
11 - 12 / 2014,Cape Verde (Fogo Volcano),,,,--,--,2,--
11/25/2014,"China, Sichuan (aftershock)",5.8,16,VIII,--,12,3 - 4,--
11/25/2015,"Colombia, Santander",5.1,143,V,--,--,2,--
11/25/2014,"China, Liaoning",1.6,,,26,50,1,--
11/30/2014,"USA, Oklahoma",3.8,,,--,--,1 - 2,--
11/30/2014,Poland,"[4,2]",,,--,--,2,--
12/5/2014,"China, Yunnan (aftershock)",5.8,9,,--,7,4,--
12/6/2014,"OS Greece, Lesbos",5.1,22,,--,--,1 - 2,--
12/6/2014,"China, Yunnan (aftershock)",5.9,10,,1,15,4,--
12/6/2014,OS Panama,5.8,,VI,--,--,1 - 2,--
12/7/2014,OS Guatemala,5.6,18,,1,--,2,--
,,5.6,32,,,,,--
12/8/2014,OS Panama,6.4,,,--,--,2,--
12/12/2014,"Iran, Kohgiluyeh and Boyer Ahmad",5.2,10,,--,,1 - 2,--
12/14/2014,"Colombia, Cundinamarca",5,140,V,--,--,1,--
12/16/2014,"OS Russia, Sakhalin",4.6,20,,--,--,2,--
12/18/2014,Nepal,5,,,--,--,2 - 3,--
12/19/2014,"India, Karnataka",,,,--,--,1,--
12/19/2014,"Italy, Tuscany",4.1,7,,--,,1 - 2,--
12/19/2014,"Algeria, Blida",4.7,,,--,11,2,--
12/20/2014,"China, Yunnan (Kunming area)",0.9,,,--,--,1,--
12/21/2014,"Italy, Tuscany",3.6,9,,--,--,1,--
12/23/2014,"Algeria, Blida",4.9,,,--,13,3,--
12/25/2014,Bosnia-Herzegowina,3.9,,VI,--,--,1,--
12/26/2014,"Algeria, Blida",4.7,,,--,12,3,--
12/30/2014,Netherlands,2.8,3,,--,--,1 - 2,--
12/30/2014,"Iran, Bushehr",5.3,10,,--,--,3,--
12/31/2014,"Brazil, Sao Paulo",2.7,,,--,--,1 - 2,--
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
