Date (UTC),Epicenter,Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
3/7/2020,Costa Rica,Puntarenas,5.2,earthquake,tectonic,,,44021,-83.15,0,0,0,0.003980612,1,0,--
3/7/2020,Portugal,Madeira,5.1,earthquake,tectonic,,,32.32,-16.86,0,0,0,0.011834025,3,0,--
3/8/2020,Iran,Chuzestan,4.8,earthquake,tectonic,9,,32.24,48.8,0,0,0,0.019547943,5,0,--
3/9/2020,China,Xizang,5,EQ sequence,tectonic,10,,32.84,85.52,0,0,0,0.056187092,15,0,--
3/10/2020,Indonesia,Jawa Barat,4.9,earthquake,tectonic,10,,-6.81,106.66,0,3,1032,1.419611381,405,60,--
3/11/2020,Indonesia,Jawa Barat,3.7,earthquake,tectonic,,,-6.73,107.35,0,0,0,0.00792507,2,0,--
3/12/2020,Japan,Ishikawa,5.2,earthquake,tectonic,8,,37.27,136.86,0,2,0,0.177940277,0,0,--
3/13/2020,India,Kerala,2.8,earthquake,reservoir induced,,,9.79,76.88,0,0,0,0.038253784,10,0,--
3/13/2020,Tanzania,Tanga,4.8,earthquake,tectonic,15,,-4.9,38.55,0,0,0,0.00792507,2,0,--
3/14/2020,Iran,Qom,4,earthquake,tectonic,10,,34.56,50.72,0,0,0,0.038253784,10,0,--
3/15/2020,Iran,Hormozgan,5.4,earthquake,tectonic,16,,27.2,55.32,0,2,,0.235971879,20,1,--
3/16/2020,India,Rajasthan,3.1,earthquake,tectonic,,,26.9,75.3,0,0,0,0.00792507,2,0,--
