Date (UTC),"Country, Region (Epicenter)",Country,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsu. height
5/11/2016,"Nepal, Central (aftershock)",Nepal,4.5,10,,--,3,,,0,--
5/11/2016,"Mexico, Jalisco (Guadalajara area)",Mexico,4.8,15,,--,1,2,69,2,--
5/12/2016,"Cyprus, Larnaca",Cyprus,4.2,,,--,--,1,1,0,--
5/12/2016,"OS Taiwan, Yilan",Taiwan,5.8,17,CWB 6,--,1,1,,0,--
5/16/2016,"Algeria, Medea",Algeria,4.9,,,--,4,2,,0,--
5/16/2016,"Japan, Ibaraki",Japan,5.6,40,JMA 5-,--,1,,,0,--
5/17/2016,"China, Yunnan",China,5.0,15,,--,4,4,37980,192,--
5/18/2016,"Ecuador, Esmeraldas (aftershock)",Ecuador,6.7,34,,1,162,3,,9,--
5/18/2016,"Ecuador, Esmeraldas (aftershock)",Ecuador,6.8,31,,,,3,,,--
5/19/2016,"Argentina, Mendoza",Argentina,3.4,15,,--,--,1,0,1,--
5/21/2016,"Macedonia, Demir Hisar",Macedonia,4.8,,VI,--,--,2,,,--
5/22/2016,"China, Xizang",China,5.3,8,,--,--,2,816,0,--
5/22/2016,"Bolivia, Tarija",Bolivia,5.5,15,,--,--,1,,0,--
5/22/2016,"China, Liaoning",China,4.6,6,,--,--,1 - 2,,0,--
5/24/2016,"Yemen, Al-Baida",Yemen,4.8,5,,3,,3 - 4,,18,--
5/24/2016,"Iran, North Chorasan",Iran,4.8,10,,--,--,2,67,0,--
5/25/2016,"OS Greece, Crete",Greece,5.3,30,,--,--,1,1,0,--
5/25/2016,"Sierra Leone, Eastern",Sierra Leone,,,,,2,1,,0,--
5/28/2016,"Germany, Northrhine Westphalia",Germany,"[3,3]",1,V,--,--,1,3,0,--
5/28/2016,"India, Andhra Pradesh",India,3.4,,,--,--,1 - 2,,0,--
5/28/2016,"Algeria, Medea",Algeria,5.3,8,,--,88,3,3740,,--
5/28/2016,"Australia, Western Australia",Australia,5.1,,,--,--,1,1,0,--
5/30/2016,"Italy, Umbria",Italy,4.1,15,,--,--,1,,0,--
6/1/2016,"OS Indonesia, Sumatra Barat",Indonesia,6.5,65,VI,1,18,4,2663,114,--
6/3/2016,"Poland, Silesia",Poland,"[3,5]",0.7,,--,--,1,1,0,--
07.06.2016,"OS Indonesia, Northern Molucca",Indonesia,6.5,,,--,--,2 - 3,35,,--
07.06.2016,"Iran, North Chorasan (aftershock)",Iran,4.0,12,,--,--,1 - 2,,0,--
08.06.2016,"OS Indonesia, East Nusa Tenggera",Indonesia,6.2,,III,--,--,1,,0,--
09.06.2016,"Philippines, Nueva Vizcaya",Philippines,5.2,5,VI ,--,--,1,2,0,--
10.06.2016,"Nicaragua, Chinandega",Nicaragua,5.9,3,VII,--,1,3,286,16,--
10.06.2016,"Turkey, Bingöl",Turkey,4.4,5,,--,--,1,10,0,--
15.06.2016,"Guatelama, Retalhuelu",Guatemala,5.2,26,,--,--,1,0,1,--
16.06.2016,"OS Japan, Hokkaido",Japan,5.3,11,JMA 6-,--,1,1,3,0,--
21.06.2016,"Peru, Moquega",Peru,4.5,11,III,--,1,--,0,0,--
22.06.2016,"Iran, West Azerbaijan",Iran,4.5,4,,--,--,1,,0,--
23.06.2016,"Italy, Tuscany",Italy,4.0,,,--,--,1,,0,--
24.06.2016,"OS Indonesia, Kalimantan Barat",Indonesia,5.1,,VI,--,--,1 - 2,,0,--
26.06.2016,"Kyrgyzstan, Osh",Kyrgyzstan,6.1,19,VII,--,,1,6,0,--
27.06.2016,"Mexico, Oaxaca",Mexico,5.7,20,VI,--,--,1,6,0,--
29.06.2016,"Nepal, Far Western",Nepal,5.0,,,--,,3,,1,--
30.06.2016,"Iran, North Chorasan",Iran,5.0,,,--,,2 - 3,,,--
30.06.2016,"Mexico, Nuevo Leon",Mexico,4.0,20,,--,--,1,3,0,--
01.07.2016,"Tajikistan, Nohijahoi tobei dschumhurij",Tajikistan,5.4,,VI,,,3 - 4,30,15,--
02.07.2016,"Nepal, Far Western (aftershock)",Nepal,4.4,,,--,--,1,3,0,--
03.07.2016,"Costa Rica, Guanacaste",Costa Rica,5.4,20,VI,--,--,3,,6,--
05.07.2016,"OS South Korea, Ulsan",South Korea,5.0,,,--,--,1,1,0,--
06.07.2016,"Iran, Chaharmahal va Bakhtiari",Iran,4.4,,,--,--,1 - 2,,0,--
10.07.2016,"Nigeria, Bayelsa",Nigeria,[ ],,,--,--,2,,0,--
10.07.2016,"Indonesia, Sumatra Barat",Indonesia,5.4,,,1,--,1,,0,--
11.07.2016,"Ecuador, Esmeraldas",Ecuador,6.2,,,1,2,1 - 2,,,--
12.07.2016,"Georgia, Kvemo Kartli",Georgia,4.7,,VI,,,2,,,--
13.07.2016,"Tanzania, Dodoma",Tanzania,5.1,,,--,--,3 - 4,,60,--
15.07.2016,"Venezuela, Trujillo",Venezuela,4.1,3,,1,--,1 - 2,,0,--
17.07.2016,"India, Gujarat",India,4.5,,,--,1,,,,--
17.07.2016,"Pakistan, Punjab",Pakistan,4.4,,,--,3,2,,,--
25.07.2016,"Austria, Tyrol",Austria,3.5,10,IV,--,--,1,2,0,--
25.07.2016,"Chile, Atacama",Chile,6.1,77,VII,--,--,1,,0,--
26.07.2016,"Philippines, Surigao del Norte",Philippines,5.2,9,VI,--,8,2,,,--
27.07.2016,"Philippines, Leyte",Philippines,5.2,5,VI,--,,1,,0,--
29.07.2016,"OS USA, Marianas",,7.7,212,VI,--,--,--,0,0,5 cm
30.07.2016,"Italy, Piemont",Italy,3.9,,,--,--,1,,0,--
30.07.2016,"Nigeria, Kaduna",Nigeria,,,,--,10,3,,,--
31.07.2016,"China, Guangxi",China,5.4,10,VI,--,--,3,201,6,--
31.07.2016,"Indonesia, West Nusa Tenggara",Indonesia,5.7,22,,--,4,3 - 4,1351,97,--
01.08.2016,"Azerbaijan, Imisli",Azerbaijan,5.6,22,V,1,3,3 - 4,,,--
03.08.2016,"China, Hunan",China,3.5,8,,--,--,1,10,0,--
04.08.2016,"Poland, Lower Silesia",Poland,"[3,3]",1,,--,2,1,,0,--
07.08.2016,"Ukraine, Donezk",Ukraine,4.9,10,VI,--,--,1 - 2,,0,--
08.08.2016,"Ecuador, Quito",Ecuador,4.6,7,,--,2,2,47,0,--
10.08.2016,"USA, California",USA,5.1,18,V,--,--,1,2,0,--
11.08.2016,"Brazil, Bahia",Brazil,2.7,1,,--,--,1,,0,--
11.08.2016,"China, Chongqing",China,4.4,10,,--,3,3,873,8,--
12.08.2016,"OS Vanuatu,   ",Vanuatu,7.2,,,--,--,--,0,0,19 cm
12.08.2016,"China, Yunnan",China,4.5,8,,--,--,1,,0,--
12.08.2016,"Brazil, Alagoas",Brazil,2.4,2,,--,--,1,,0,--
12.08.2016,"China, Xinjiang",China,4.7,8,,--,--,1 - 2,,0,--
13.08.2016,"Poland, Lower Silesia",Poland,"[4,3]",1,,--,1,,,0,--
15.08.2016,"Peru, Arequipa (Sabancaya Volcano)",Peru,5.3,8,VI,4,67,4 - 5,3625,693,--
15.08.2016,"Philippines, Western Visayas",Philippines,5.3,10,V ,--,1,1,2,0,--
16.08.2016,"Costa Rica, Puntaneras",Costa Rica,3.7,,,--,--,1,,0,--
17.08.2016,"USA, Oklahoma",USA,[4.0],4,V,--,--,1,,0,--
17.08.2016,"Costa Rica, Puntarenas",Costa Rica,4.8,,V,--,--,1,,0,--
17.08.2016,"Venezuela, Barinas",Venezuela,4.2,5,,--,--,1,,0,--
18.08.2016,"OS Australia, Queensland",Australia,5.8,,,--,--,1,,0,--
19.08.2016,"OS United Kingdom, South Georgia Island",United Kingdom,7.4,,,--,--,--,0,0,20 cm
19.08.2016,"OS Peru, Arequipa",Peru,5.2,,IV,--,--,1,2,0,--
21.08.2016,"Iran, Hormozgan",Iran,4.8,8,,--,5,,,,--
23.08.2016,"Myanmar, Sagaing",Myanmar,5.5,,,--,--,1,,0,--
23.08.2016,"India, Haryana",India,3.5,,,--,--,1,1,0,--
24.08.2016,"Italy, Lazio",Italy,6.0,4,VIII,299,386,4 - 5,876,461,--
24.08.2016,"Italy, Umbria (aftershock)",Italy,5.4,,,--,1,3,,,--
24.08.2016,"Myanmar, Magwe",Myanmar,6.8,85,VI,3,23,4,1002,,--
25.08.2016,"Poland, Silesia",Poland,2.3,1,,1,3,,0,0,--
25.08.2016,"Italy, Lazio (aftershock)",Italy,4.4,5,,--,--,3,,,--
26.08.2016,"Ecuador, Manabi (aftershock)",Ecuador,5.2,,,--,--,2,,1,--
26.08.2016,"Malaysia, Sabah (aftershock)",Malaysia,4.0,,,--,--,1,1,0,--
26.08.2016,"Italy, Lazio (aftershock)",Italy,4.8,11,,--,--,3,,,--
27.08.2016,"India, Himachal Pradesh",India,4.6,10,,--,--,2,,,--
28.08.2016,"India, Odisha",India,,,,--,--,1,,,--
28.08.2016,"Colombia, Bucaramanga",Colombia,4.4,,,--,--,1 - 2,,0,--
29.08.2016,Central Mid Atlantic Ridge (OS Sierra Leone),Sierra Leone,7.1,,III,--,--,1 - 2,,0,--
29.08.2016,"El Salvador, Santa Ana",El Salvador,5.2,2,VII,--,--,2,21,,--
29.08.2016,"Mexico, Puebla (Popocatepetl Volcano)",Mexico,3.8,,,--,--,1,2,0,--
31.08.2016,"Japan, Kumamoto (aftershock)",Japan,5.2,,JMA 5-,--,1,--,0,0,--
31.08.2016,"Italy, Umbria (Aftershock)",Italy,3.8,,,--,--,2,,,--
31.08.2016,"Spain, Andalusia",Spain,3.5,,,--,--,1,,0,--
01.09.2016,"OS New Zealand, Gisborne",New Zealand,7.1,22,,--,--,1,,0,30 cm
02.09.2016,"Netherlands, Groningen",Netherlands,(2.1),3,,--,--,1,45,0,--
03.09.2016,"Italy, Umbria (aftershock)",Italy,4.3,11,,--,--,2 - 3,,,--
03.09.2016,"USA, Oklahoma",USA,(5.8),5,VII,--,1,2,,,--
05.09.2016,"Ecuador, Quito",Ecuador,4.6,5,,--,10,2 - 3,65,,--
05.09.2016,"Pakistan, Khyber Pakhtunkwar",Pakistan,4.5,15,,--,57,3,,,--
07.09.2016,"Azerbaijan, Balakan",Azerbaijan,4.4,4,IV,--,--,1,,0,--
09.09.2016,"OS New Zealand, Marlborough",New Zealand,5.1,80,,--,--,1,2,0,--
10.09.2016,"Peru, Loreto",Peru,"6,0",114,IV,--,--,1,2,0,--
10.09.2016,"Tanzania, Kagera",Tanzania,5.8,10,VII,20,613,5,11395,2072,--
,,Uganda,,,,4,6,,3200,600,
10.09.2016,"India, Haryana",India,4.1,,,--,--,1 - 2,,0,--
10.09.2016,"Canada, British Columbia",Canada,3.9,6,,--,--,1,,,--
11.09.2016,"Macedonia, Skopje",Macedonia,5.3,4,VII,--,131,3,300,,--
11.09.2016,"Nigeria, Kaduna",Nigeria,2.6,,,,,2,,,--
12.09.2016,"Turkey, Manisa",Turkey,5.0,14,,,,1,,,--
12.09.2016,"South Korea, Gyeongsangbuk-do",South Korea,5.8,10,VII,,24,2 - 3,5366,,--
14.09.2016,"Colombia, Antioquia",Colombia,6.1,,,,,2,,,--
15.09.2016,"Mexico, Oaxaca",Mexico,5.3,,,,,1,1,0,--
15.09.2016,"Nicaragua, Leon",Nicaragua,5.9,,,,3,2 - 3,12,,--
15.09.2016,"Italy, Lazio (aftershock)",,4.2,,,,,,,,--
19.09.2016,"South Korea, Gyeongsangbuk-do (aftershock)",South Korea,4.5,,,--,--,1,12,,--
21.09.2016,"Iran, Beluchestan",Iran,4.5,,,--,--,1 - 2,,,--
22.09.2016,"China, Sichuan",China,5.1,,,--,--,3,1900,100,--
22.09.2016,"Pakistan, Sindh",Pakistan,4.9,20,,1,9,3,,,--
23.09.2016,"Burundi, Cibitoke",Burundi,4.8,,,7,84,4,,,--
,,DR Congo,,,,,,,,,
,,Rwanda,,,,,,,,,
23.09.2016,"Romania, Vrancea",Romania,5.4,95,,--,6,2,,,--
28.09.2016,"Nicaragua, Leon",Nicaragua,5.4,7,,1,10,3,487,8,--
01.10.2016,"Pakistan, Khyber Pakhtunkwa",Pakistan,5.5,12,,2,23,3,,,--
09.10.2016,"India, Kerala",India,,,,--,--,1 - 2,,,--
